time,value,type,measurement,sensor_id
2024-09-27T18:49:04Z,0.512187218,co,airSensors,TLM0100
2024-09-27T18:49:14Z,0.522545438,co,airSensors,TLM0100
2024-09-27T18:49:24Z,0.519831562,co,airSensors,TLM0100
2024-09-27T18:49:34Z,0.516033064,co,airSensors,TLM0100
2024-09-27T18:49:44Z,0.510738619,co,airSensors,TLM0100
2024-09-27T18:49:54Z,0.525569342,co,airSensors,TLM0100
2024-09-27T18:50:04Z,0.544089505,co,airSensors,TLM0100
2024-09-27T18:50:14Z,0.549883294,co,airSensors,TLM0100
2024-09-27T18:50:24Z,0.562233929,co,airSensors,TLM0100
2024-09-27T18:50:34Z,0.556464114,co,airSensors,TLM0100
2024-09-27T18:50:44Z,0.543428741,co,airSensors,TLM0100
2024-09-27T18:50:54Z,0.558326133,co,airSensors,TLM0100
2024-09-27T18:51:04Z,0.541158217,co,airSensors,TLM0100
2024-09-27T18:51:14Z,0.533232409,co,airSensors,TLM0100
2024-09-27T18:51:24Z,0.540637399,co,airSensors,TLM0100
2024-09-27T18:51:34Z,0.548609696,co,airSensors,TLM0100
2024-09-27T18:51:44Z,0.555087519,co,airSensors,TLM0100
2024-09-27T18:51:54Z,0.563695767,co,airSensors,TLM0100
2024-09-27T18:52:04Z,0.55899283,co,airSensors,TLM0100
2024-09-27T18:52:14Z,0.555123083,co,airSensors,TLM0100
2024-09-27T18:52:24Z,0.558850384,co,airSensors,TLM0100
2024-09-27T18:52:34Z,0.552354464,co,airSensors,TLM0100
2024-09-27T18:52:44Z,0.566997984,co,airSensors,TLM0100
2024-09-27T18:52:54Z,0.582812607,co,airSensors,TLM0100
2024-09-27T18:53:04Z,0.581697445,co,airSensors,TLM0100
2024-09-27T18:53:14Z,0.58239969,co,airSensors,TLM0100
2024-09-27T18:53:24Z,0.56794575,co,airSensors,TLM0100
2024-09-27T18:53:34Z,0.566058048,co,airSensors,TLM0100
2024-09-27T18:53:44Z,0.573146101,co,airSensors,TLM0100
2024-09-27T18:53:54Z,0.587686321,co,airSensors,TLM0100
2024-09-27T18:54:04Z,0.597633343,co,airSensors,TLM0100
2024-09-27T18:54:14Z,0.609546214,co,airSensors,TLM0100
2024-09-27T18:54:24Z,0.59105817,co,airSensors,TLM0100
2024-09-27T18:54:34Z,0.583223139,co,airSensors,TLM0100
2024-09-27T18:54:44Z,0.571538954,co,airSensors,TLM0100
2024-09-27T18:54:54Z,0.562622597,co,airSensors,TLM0100
2024-09-27T18:55:04Z,0.560633982,co,airSensors,TLM0100
2024-09-27T18:55:14Z,0.562792848,co,airSensors,TLM0100
2024-09-27T18:55:24Z,0.548326559,co,airSensors,TLM0100
2024-09-27T18:55:34Z,0.564055304,co,airSensors,TLM0100
2024-09-27T18:55:44Z,0.552606757,co,airSensors,TLM0100
2024-09-27T18:55:54Z,0.548963468,co,airSensors,TLM0100
2024-09-27T18:56:04Z,0.537273996,co,airSensors,TLM0100
2024-09-27T18:56:14Z,0.54467274,co,airSensors,TLM0100
2024-09-27T18:56:24Z,0.541690214,co,airSensors,TLM0100
2024-09-27T18:56:34Z,0.531578684,co,airSensors,TLM0100
2024-09-27T18:56:44Z,0.535589427,co,airSensors,TLM0100
2024-09-27T18:56:54Z,0.521320112,co,airSensors,TLM0100
2024-09-27T18:57:04Z,0.510526532,co,airSensors,TLM0100
2024-09-27T18:57:14Z,0.494199509,co,airSensors,TLM0100
2024-09-27T18:57:24Z,0.502060018,co,airSensors,TLM0100
2024-09-27T18:57:34Z,0.488763539,co,airSensors,TLM0100
2024-09-27T18:57:44Z,0.477357231,co,airSensors,TLM0100
2024-09-27T18:57:54Z,0.481028759,co,airSensors,TLM0100
2024-09-27T18:58:04Z,0.489136449,co,airSensors,TLM0100
2024-09-27T18:58:14Z,0.475023623,co,airSensors,TLM0100
2024-09-27T18:58:24Z,0.455565155,co,airSensors,TLM0100
2024-09-27T18:58:34Z,0.463813103,co,airSensors,TLM0100
2024-09-27T18:58:44Z,0.461494584,co,airSensors,TLM0100
2024-09-27T18:58:54Z,0.463891773,co,airSensors,TLM0100
2024-09-27T18:59:04Z,0.461344623,co,airSensors,TLM0100
2024-09-27T18:59:14Z,0.442980308,co,airSensors,TLM0100
2024-09-27T18:59:24Z,0.453791664,co,airSensors,TLM0100
2024-09-27T18:59:34Z,0.438886837,co,airSensors,TLM0100
2024-09-27T18:59:44Z,0.423674322,co,airSensors,TLM0100
2024-09-27T18:59:54Z,0.418516844,co,airSensors,TLM0100
2024-09-27T19:00:04Z,0.437028822,co,airSensors,TLM0100
2024-09-27T19:00:14Z,0.446302097,co,airSensors,TLM0100
2024-09-27T19:00:24Z,0.43089911,co,airSensors,TLM0100
2024-09-27T19:00:34Z,0.444636089,co,airSensors,TLM0100
2024-09-27T19:00:44Z,0.442044307,co,airSensors,TLM0100
2024-09-27T19:00:54Z,0.442563654,co,airSensors,TLM0100
2024-09-27T19:01:04Z,0.42559854,co,airSensors,TLM0100
2024-09-27T19:01:14Z,0.413448887,co,airSensors,TLM0100
2024-09-27T19:01:24Z,0.432600226,co,airSensors,TLM0100
2024-09-27T19:01:34Z,0.447804082,co,airSensors,TLM0100
2024-09-27T19:01:44Z,0.465339908,co,airSensors,TLM0100
2024-09-27T19:01:54Z,0.477412218,co,airSensors,TLM0100
2024-09-27T19:02:04Z,0.483734365,co,airSensors,TLM0100
2024-09-27T19:02:14Z,0.501886984,co,airSensors,TLM0100
2024-09-27T19:02:24Z,0.502558302,co,airSensors,TLM0100
2024-09-27T19:02:34Z,0.488854424,co,airSensors,TLM0100
2024-09-27T19:02:44Z,0.490642719,co,airSensors,TLM0100
2024-09-27T19:02:54Z,0.488212019,co,airSensors,TLM0100
2024-09-27T19:03:04Z,0.48656315,co,airSensors,TLM0100
2024-09-27T19:03:14Z,0.502528129,co,airSensors,TLM0100
2024-09-27T19:03:24Z,0.495101263,co,airSensors,TLM0100
2024-09-27T19:03:34Z,0.496798694,co,airSensors,TLM0100
2024-09-27T19:03:44Z,0.508877856,co,airSensors,TLM0100
2024-09-27T19:03:54Z,0.522341288,co,airSensors,TLM0100
2024-09-27T19:04:04Z,0.537525292,co,airSensors,TLM0100
2024-09-27T19:04:14Z,0.530549808,co,airSensors,TLM0100
2024-09-27T19:04:24Z,0.536729725,co,airSensors,TLM0100
2024-09-27T19:04:34Z,0.519165798,co,airSensors,TLM0100
2024-09-27T19:04:44Z,0.518348051,co,airSensors,TLM0100
2024-09-27T19:04:54Z,0.530373539,co,airSensors,TLM0100
2024-09-27T19:05:04Z,0.518818869,co,airSensors,TLM0100
2024-09-27T19:05:14Z,0.523752782,co,airSensors,TLM0100
2024-09-27T19:05:24Z,0.542396698,co,airSensors,TLM0100
2024-09-27T19:05:34Z,0.531227428,co,airSensors,TLM0100
2024-09-27T19:05:44Z,0.529269858,co,airSensors,TLM0100
2024-09-27T19:05:54Z,0.518076776,co,airSensors,TLM0100
2024-09-27T19:06:04Z,0.517015349,co,airSensors,TLM0100
2024-09-27T19:06:14Z,0.534302315,co,airSensors,TLM0100
2024-09-27T19:06:24Z,0.521221807,co,airSensors,TLM0100
2024-09-27T19:06:34Z,0.537447589,co,airSensors,TLM0100
2024-09-27T19:06:44Z,0.520815249,co,airSensors,TLM0100
2024-09-27T19:06:54Z,0.520659468,co,airSensors,TLM0100
2024-09-27T19:07:04Z,0.501864816,co,airSensors,TLM0100
2024-09-27T19:07:14Z,0.520382862,co,airSensors,TLM0100
2024-09-27T19:07:24Z,0.527216699,co,airSensors,TLM0100
2024-09-27T19:07:34Z,0.520478155,co,airSensors,TLM0100
2024-09-27T19:07:44Z,0.50153446,co,airSensors,TLM0100
2024-09-27T19:07:54Z,0.507643063,co,airSensors,TLM0100
2024-09-27T19:08:04Z,0.506974957,co,airSensors,TLM0100
2024-09-27T19:08:14Z,0.514096915,co,airSensors,TLM0100
2024-09-27T19:08:24Z,0.517928409,co,airSensors,TLM0100
2024-09-27T19:08:34Z,0.521534664,co,airSensors,TLM0100
2024-09-27T19:08:44Z,0.510402406,co,airSensors,TLM0100
2024-09-27T19:08:54Z,0.502374645,co,airSensors,TLM0100
2024-09-27T19:09:04Z,0.484516166,co,airSensors,TLM0100
2024-09-27T19:09:14Z,0.484216868,co,airSensors,TLM0100
2024-09-27T19:09:24Z,0.477755713,co,airSensors,TLM0100
2024-09-27T19:09:34Z,0.494881885,co,airSensors,TLM0100
2024-09-27T19:09:44Z,0.48635074,co,airSensors,TLM0100
2024-09-27T19:09:54Z,0.470790865,co,airSensors,TLM0100
2024-09-27T19:10:04Z,0.454120363,co,airSensors,TLM0100
2024-09-27T19:10:14Z,0.45679238,co,airSensors,TLM0100
2024-09-27T19:10:24Z,0.439121618,co,airSensors,TLM0100
2024-09-27T19:10:34Z,0.435415255,co,airSensors,TLM0100
2024-09-27T19:10:44Z,0.438427401,co,airSensors,TLM0100
2024-09-27T19:10:54Z,0.440521162,co,airSensors,TLM0100
2024-09-27T19:11:04Z,0.456551155,co,airSensors,TLM0100
2024-09-27T19:11:14Z,0.471449134,co,airSensors,TLM0100
2024-09-27T19:11:24Z,0.463091424,co,airSensors,TLM0100
2024-09-27T19:11:34Z,0.447800129,co,airSensors,TLM0100
2024-09-27T19:11:44Z,0.440997897,co,airSensors,TLM0100
2024-09-27T19:11:54Z,0.434385458,co,airSensors,TLM0100
2024-09-27T19:12:04Z,0.447248335,co,airSensors,TLM0100
2024-09-27T19:12:14Z,0.461344181,co,airSensors,TLM0100
2024-09-27T19:12:24Z,0.454192667,co,airSensors,TLM0100
2024-09-27T19:12:34Z,0.458667995,co,airSensors,TLM0100
2024-09-27T19:12:44Z,0.451660694,co,airSensors,TLM0100
2024-09-27T19:12:54Z,0.44137541,co,airSensors,TLM0100
2024-09-27T19:13:04Z,0.446361385,co,airSensors,TLM0100
2024-09-27T19:13:14Z,0.437706554,co,airSensors,TLM0100
2024-09-27T19:13:24Z,0.449643845,co,airSensors,TLM0100
2024-09-27T19:13:34Z,0.463399067,co,airSensors,TLM0100
2024-09-27T19:13:44Z,0.466115889,co,airSensors,TLM0100
2024-09-27T19:13:54Z,0.465009429,co,airSensors,TLM0100
2024-09-27T19:14:04Z,0.458068724,co,airSensors,TLM0100
2024-09-27T19:14:14Z,0.443160759,co,airSensors,TLM0100
2024-09-27T19:14:24Z,0.46144381,co,airSensors,TLM0100
2024-09-27T19:14:34Z,0.450319071,co,airSensors,TLM0100
2024-09-27T19:14:44Z,0.452256088,co,airSensors,TLM0100
2024-09-27T19:14:54Z,0.436371703,co,airSensors,TLM0100
2024-09-27T19:15:04Z,0.419334537,co,airSensors,TLM0100
2024-09-27T19:15:14Z,0.41301745,co,airSensors,TLM0100
2024-09-27T19:15:24Z,0.399294584,co,airSensors,TLM0100
2024-09-27T19:15:34Z,0.401047481,co,airSensors,TLM0100
2024-09-27T19:15:44Z,0.388588427,co,airSensors,TLM0100
2024-09-27T19:15:54Z,0.378824909,co,airSensors,TLM0100
2024-09-27T19:16:04Z,0.359133761,co,airSensors,TLM0100
2024-09-27T19:16:14Z,0.358078895,co,airSensors,TLM0100
2024-09-27T19:16:24Z,0.344891915,co,airSensors,TLM0100
2024-09-27T19:16:34Z,0.356857937,co,airSensors,TLM0100
2024-09-27T19:16:44Z,0.366665468,co,airSensors,TLM0100
2024-09-27T19:16:54Z,0.376180642,co,airSensors,TLM0100
2024-09-27T19:17:04Z,0.387023479,co,airSensors,TLM0100
2024-09-27T19:17:14Z,0.391315068,co,airSensors,TLM0100
2024-09-27T19:17:24Z,0.40995036,co,airSensors,TLM0100
2024-09-27T19:17:34Z,0.42070198,co,airSensors,TLM0100
2024-09-27T19:17:44Z,0.426181829,co,airSensors,TLM0100
2024-09-27T19:17:54Z,0.420159409,co,airSensors,TLM0100
2024-09-27T19:18:04Z,0.420838558,co,airSensors,TLM0100
2024-09-27T19:18:14Z,0.436831832,co,airSensors,TLM0100
2024-09-27T19:18:24Z,0.449577135,co,airSensors,TLM0100
2024-09-27T19:18:34Z,0.444054104,co,airSensors,TLM0100
2024-09-27T19:18:44Z,0.462777479,co,airSensors,TLM0100
2024-09-27T19:18:54Z,0.458714954,co,airSensors,TLM0100
2024-09-27T19:19:04Z,0.443391611,co,airSensors,TLM0100
2024-09-27T19:19:14Z,0.444048197,co,airSensors,TLM0100
2024-09-27T19:19:24Z,0.440566825,co,airSensors,TLM0100
2024-09-27T19:19:34Z,0.422257951,co,airSensors,TLM0100
2024-09-27T19:19:44Z,0.408146323,co,airSensors,TLM0100
2024-09-27T19:19:54Z,0.406473874,co,airSensors,TLM0100
2024-09-27T19:20:04Z,0.410570357,co,airSensors,TLM0100
2024-09-27T19:20:14Z,0.420112568,co,airSensors,TLM0100
2024-09-27T19:20:24Z,0.424641226,co,airSensors,TLM0100
2024-09-27T19:20:34Z,0.442710811,co,airSensors,TLM0100
2024-09-27T19:20:44Z,0.428048924,co,airSensors,TLM0100
